<<<<<<< HEAD
date,time,block,treatment,earwigs,coccin_adults,coccin_larvae,pres_ants,lacewing_larva,lacewing_adults,lw_egg,LL_fly,syrphid,par_wasp,pred_wasp,pentatomidae_ad_and_imm,spider,scorpionfly,lampyridae,cantharid_larva,harvestman,nabidae,slug
15-Jul,11:00,4,soy,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,13:00,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,12:42,1,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,13:22,2,prairie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15-Jul,13:10,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,14:51,3,prairie,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15-Jul,13:50,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,14:10,4,prairie,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15-Jul,14:00,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,9:20,1,prairie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,9:40,1,soy,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,9:56,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,10:02,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,10:38,3,prairie,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,10:50,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,11:13,4,prairie,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,11:02,4,soy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:14,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:00,1,soy,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:36,2,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:48,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,11:20,3,prairie,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18-Jul,11:40,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,12:34,4,prairie,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,12:52,4,soy,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20-Jul,12:20,1,prairie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20-Jul,12:40,1,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,12:52,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:06,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:18,3,prairie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20-Jul,13:30,3,soy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:30,4,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:30,4,soy,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22-Jul,9:33,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,9:22,1,soy,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,9:45,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,10:02,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22-Jul,10:30,3,prairie,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,10:32,3,soy,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22-Jul,10:42,4,prairie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,10:37,4,soy,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,10:10,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,10:00,1,soy,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
25-Jul,10:45,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,10:35,2,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,11:25,3,prairie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25-Jul,11:05,3,soy,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,12:35,4,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,12:35,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,12:45,1,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:00,1,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:30,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:15,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:42,3,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:39,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:54,4,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:48,4,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:15,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,9:57,1,soy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:25,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:20,2,soy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:35,3,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:30,3,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,11:00,4,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:45,4,soy,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,1,soy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,2,prairie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3-Aug,missing,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,3,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,4,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,4,soy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
=======
date,time,block,treatment,earwigs,coccin_adults,coccin_larvae,pres_ants,lacewing_larva,lacewing_adults,lw_egg,LL_fly,syrphid,par_wasp,pred_wasp,pentatomidae_ad_and_imm,spider,scorpionfly,lampyridae,cantharid_larva,harvestman,nabidae,slug
13-Jul,12:51,1,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:41,1,prairie,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13-Jul,11:03,2,soy,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
13-Jul,10:56,2,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:52,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:39,3,prairie,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13-Jul,11:35,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,11:35,4,prairie,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13-Jul,10:25,1,soy,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13-Jul,10:45,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:40,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:40,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,11:10,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,11:22,3,prairie,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13-Jul,23-Jul,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Jul,12:50,4,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14-Jul,10:30,1,soy,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14-Jul,10:15,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14-Jul,11:05,2,soy,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,11:44,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,11:50,3,soy,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,11:41,3,prairie,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,12:00,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,12:10,4,prairie,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
14-Jul,12:45,1,soy,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,12:54,1,prairie,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
14-Jul,13:15,2,soy,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,13:05,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,13:27,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-Jul,13:27,3,prairie,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14-Jul,13:27,4,soy,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14-Jul,13:27,4,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,9:38,1,prairie,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,9:25,1,soy,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,10:08,2,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,9:52,2,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-Jul,10:35,3,prairie,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,10:26,3,soy,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,11:00,4,prairie,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,11:00,4,soy,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,13:00,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,12:42,1,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,13:22,2,prairie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15-Jul,13:10,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,14:51,3,prairie,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15-Jul,13:50,3,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Jul,14:10,4,prairie,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15-Jul,14:00,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,9:20,1,prairie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,9:40,1,soy,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,9:56,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,10:02,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,10:38,3,prairie,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,10:50,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,11:13,4,prairie,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Jul,11:02,4,soy,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:14,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:00,1,soy,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:36,2,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,10:48,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,11:20,3,prairie,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18-Jul,11:40,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,12:34,4,prairie,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,12:52,4,soy,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20-Jul,12:20,1,prairie,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20-Jul,12:40,1,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,12:52,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:06,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:18,3,prairie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20-Jul,13:30,3,soy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:30,4,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Jul,13:30,4,soy,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22-Jul,9:33,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,9:22,1,soy,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,9:45,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,10:02,2,soy,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22-Jul,10:30,3,prairie,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,10:32,3,soy,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22-Jul,10:42,4,prairie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Jul,10:37,4,soy,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,10:10,1,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,10:00,1,soy,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
25-Jul,10:45,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,10:35,2,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,11:25,3,prairie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25-Jul,11:05,3,soy,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,12:35,4,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Jul,12:35,4,soy,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,12:45,1,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:00,1,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:30,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:15,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:42,3,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:39,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:54,4,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Jul,13:48,4,soy,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:15,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,9:57,1,soy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:25,2,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:20,2,soy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:35,3,prairie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:30,3,soy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,11:00,4,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Jul,10:45,4,soy,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,1,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,1,soy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,2,prairie,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3-Aug,missing,2,soy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,3,prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,3,soy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,4,prairie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Aug,missing,4,soy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
>>>>>>> d92a4f6a64db4e69a0419157cdfd9be9eb9685a0
